Harley Benton,SC-DLX Gotoh Black B-Stock,£256
Guild,X-175 Manhattan Special,"£1,099"
Harley Benton,Fusion-III HSS Roasted B-Stock,£274
Harley Benton,DC-DLX Gotoh Shell Pin B-Stock,£164
Fender,AV II 75 TELE DELUXE M B-Stock,"£1,666"
Harley Benton,SC-DLX Gotoh Daphne Bl B-Stock,£221
Fender,Jim Root Telecaster Fl B-Stock,"£1,099"
Harley Benton,DC-LTD Gotoh Black B-Stock,£167
Schecter,Sun Valley Super Shred B-Stock,"£1,150"
Fender,AV II 72 TELE THINLINE B-Stock,"£1,885"
Harley Benton,SC-DLX Gotoh Shell Pin B-Stock,£197
Harley Benton,DC-DLX Gotoh Black B-Stock,£203
Harley Benton,HB-35Plus LH Cherry B-Stock,£167
Fender,Vintera 60s Jaguar OT B-Stock,£811
Gibson,Les Paul Standard 60s  B-Stock,"£1,835"
Harley Benton,Fusion-III HSS Roasted B-Stock,£265
Harley Benton,DC-LTD Gotoh Daphne Bl B-Stock,£164
Höfner,HCT-VTH-R Verythin Contem.,£443
Fender,LTD Hybrid II Tele RW  B-Stock,"£1,099"
Fender,Kurt Cobain Jaguar B-Stock,"£1,222"
Harley Benton,SC-450Plus VB Vintage  B-Stock,£132
Mooer,GTRS Guitars Wing 900  B-Stock,£990
Framus,Artist Line Devin Stor B-Stock,"£1,019"
Ibanez,RGT1221PB-DTF B-Stock,"£1,073"
Harley Benton,DC-60 Junior Pelham Bl B-Stock,£141
Schecter,SunValley Super Shredd B-Stock,"£1,150"
PRS,SE Standard 24/08 TB B-Stock,£577
Harley Benton,Amarok-6 BKRD Quilted  B-Stock,£383
PRS,SE Zach Myers MB B-Stock,£694
Solar Guitars,A2.7FRC Carbon Black M B-Stock,£743
Harley Benton,Amarok-6 BKBL Flame Bu B-Stock,£379
Schecter,E-1 FR S Special Editi B-Stock,"£1,369"
Harley Benton,SC-450Plus LD Vintage  B-Stock,£144
PRS,SE Standard 24 TB 2018 B-Stock,£497
Chapman Guitars,ML1 Modern Baritone Sl B-Stock,£572
Fender,AM Pro II Strat RST PI B-Stock,"£1,485"
Fender,Player Plus Tele Silve B-Stock,£735
PRS,SE Silver Sky Moon Whi B-Stock,£829
Fender,Player Plus Nashv. Tel B-Stock,£759
Chapman Guitars,ML2 Pro River Styx Bla B-Stock,£849
Harley Benton,ST-20HSS SBK Standard  B-Stock,£84
Kramer Guitars,Feral Cat Baretta Rain B-Stock,£537
ESP,LTD GH-200 BLK Gary Ho B-Stock,£572
Fender,Player Series Jaguar P B-Stock,£589
Harley Benton,DC-Junior FAT Pelham B B-Stock,£203
Fender,Player Series Strat HS B-Stock,£645
Harley Benton,TE-53KR BL Tribute Ser B-Stock,£181
Schecter,Solo-II Blackjack BLK B-Stock,"£1,219"
Harley Benton,BigTone Trem White B-Stock,£243
Harley Benton,TE-40 TBK Deluxe Serie B-Stock,£101
Schecter,C-1 SLS Elite BFB B-Stock,"£1,239"
Harley Benton,DC-DLX Gotoh Daphne Bl B-Stock,£190
Harley Benton,Fusion-T HH HT Roasted B-Stock,£368
Fender,Player Plus Nashv. MN  B-Stock,£759
Harley Benton,SC-Special Pelham Blue B-Stock,£176
Fender,Vintera 60s Jazzmaster B-Stock,£885
Squier,Jazzmaster 40th Anniv  B-Stock,£375
Harley Benton,SC-1000SBK Progressive B-Stock,£146
Charvel,Pro-Mod DK22 SSS 2PT M B-Stock,£874
Chapman Guitars,ML3 Modern Slate Black B-Stock,£491
Harley Benton,Fusion-T HH HT Roasted B-Stock,£292
Harley Benton,CST-24TOL Tobacco Flame BStock,£226
Fender,Hybrid II Stratocaster B-Stock,£975
ESP,LTD KH-3 Spider B-Stock,"£1,145"
Harley Benton,TE-52 NA Vintage Serie B-Stock,£132
Harley Benton,Aeolus Bengal Flame B-Stock,£283
Epiphone,Les Paul Modern Graphi B-Stock,£442
Harley Benton,Fusion-III HH FR Roast B-Stock,£354
Harley Benton,WL-20BK Rock Series B-Stock,£88
Mooer,GTRS Guitars int. Prof B-Stock,£888
DAngelico,Premier Mini DC Sky Bl B-Stock,£625
Fender,JV Modified 60s Tele C B-Stock,"£1,025"
Harley Benton,Victory Active SBK B-Stock,£144
Harley Benton,Fusion-T HH HT Roasted B-Stock,£256
Harley Benton,Fusion-III HSH EB FBLB B-Stock,£246
Harley Benton,EX-76 Classic AN B-Stock,£216
Harley Benton,SC-450Plus HB Vintage  B-Stock,£132
Fender,Player Series Strat HS B-Stock,£589
Harley Benton,Aeolus Frost Flame B-Stock,£325
Harley Benton,CST-24T Paradise Flame B-Stock,£202
Harley Benton,Fusion-T HH Roasted SB B-Stock,£333
DAngelico,Deluxe Bedford SH Matt B-Stock,"£1,074"
Epiphone,Jerry Cantrell Wino LP B-Stock,£643
Fender,Player Series Tele MN  B-Stock,£599
Harley Benton,DC-580LH CH Vintage Se B-Stock,£98
Chapman Guitars,ML1 Modern Deep Blue B-Stock,£497
Epiphone,Les Paul Standard 50`s B-Stock,£474
PRS,SE Hollowbody II BG B-Stock,£699
Harley Benton,SC-1000LH SBK Progr. B-Stock,£141
Harley Benton,SC-500 BK Vintage Seri B-Stock,£138
Chapman Guitars,ML1 Modern Slate Black B-Stock,£483
Harley Benton,EX-84 Modern EMG VW B-Stock,£327
Harley Benton,SC-Custom II Vintage B B-Stock,£196
PRS,John Mayer Silver Sky  B-Stock,"£1,880"
Harley Benton,SC-550LH II Gotoh PAF B-Stock,£256
Schecter,PT Special BLKP B-Stock,£666
DAngelico,Deluxe Bedford Solid Black,"£1,165"
Harley Benton,Amarok-7 BKNT Flame Bu B-Stock,£449
PRS,SE Silver Sky Stone Bl B-Stock,£829
Fender,Player Series Tele PF  B-Stock,£619
Fender,Vintera 50s Strat Mod  B-Stock,£885
ESP,LTD EC-1000QM STBC B-Stock,£888
Harley Benton,ST-62DLX VW Vintage Se B-Stock,£146
Cort,X-300 Flip Purple B-Stock,£363
ESP,LTD Arrow BKM BLKS B-Stock,£888
Harley Benton,SC-Custom II Paradise  B-Stock,£211
